location_id,location_type,name_en,name_hi,state,state_code,district,district_code,subdistrict,subdistrict_code,village_town,village_town_code,pincode,latitude,longitude,geocode_precision,source_id,source_object_id,is_synthetic,confidence_score,verified_at,dataset_version,in_ncr
LOC_7E6EB6D4F496,village,Nathupur Nagar,नत्थूपुर नगर,Delhi,DL,New Delhi,VB-DL-NEW-DELHI,,,Nathupur Nagar,,,28.576666,77.186309,synthetic_envelope,SRC_VB_SYNTHETIC,,True,0.0,,v0.1,True
LOC_DF2B9326610E,village,Sikandarpur Khera,सिकंदरपुर खेड़ा,Delhi,DL,Central Delhi,VB-DL-CENTRAL-DELH,,,Sikandarpur Khera,,,28.621536,77.174648,synthetic_envelope,SRC_VB_SYNTHETIC,,True,0.0,,v0.1,True
LOC_07F7D991B166,village,Naurangpur Khera,नौरंगपुर खेड़ा,Delhi,DL,North Delhi,VB-DL-NORTH-DELHI,,,Naurangpur Khera,,,28.789979,77.178064,synthetic_envelope,SRC_VB_SYNTHETIC,,True,0.0,,v0.1,True
LOC_80440EEB9598,village,Bhagwanpur Khurd,भगवानपुर खुर्द,Delhi,DL,North Delhi,VB-DL-NORTH-DELHI,,,Bhagwanpur Khurd,,,28.732577,77.210402,synthetic_envelope,SRC_VB_SYNTHETIC,,True,0.0,,v0.1,True
LOC_3D46928C0A92,village,Gopalpur Kalan,गोपालपुर कलां,Delhi,DL,North Delhi,VB-DL-NORTH-DELHI,,,Gopalpur Kalan,,,28.791437,77.256492,synthetic_envelope,SRC_VB_SYNTHETIC,,True,0.0,,v0.1,True
LOC_0D2DFBD7AB8F,village,Shahpur Khurd,शाहपुर खुर्द,Delhi,DL,South Delhi,VB-DL-SOUTH-DELHI,,,Shahpur Khurd,,,28.521456,77.31668,synthetic_envelope,SRC_VB_SYNTHETIC,,True,0.0,,v0.1,True
LOC_9543C199049B,village,Sikandarpur Kalan,सिकंदरपुर कलां,Delhi,DL,South Delhi,VB-DL-SOUTH-DELHI,,,Sikandarpur Kalan,,,28.522231,77.239476,synthetic_envelope,SRC_VB_SYNTHETIC,,True,0.0,,v0.1,True
LOC_3EEA8D6D438A,village,Sultanpur,सुल्तानपुर,Delhi,DL,East Delhi,VB-DL-EAST-DELHI,,,Sultanpur,,,28.652619,77.363089,synthetic_envelope,SRC_VB_SYNTHETIC,,True,0.0,,v0.1,True
LOC_680A74D38286,village,Bahadurpur,बहादुरपुर,Delhi,DL,West Delhi,VB-DL-WEST-DELHI,,,Bahadurpur,,,28.592183,77.147688,synthetic_envelope,SRC_VB_SYNTHETIC,,True,0.0,,v0.1,True
LOC_3954DAC3CEA6,village,Bahadurpur Majra,बहादुरपुर माजरा,Delhi,DL,West Delhi,VB-DL-WEST-DELHI,,,Bahadurpur Majra,,,28.638981,77.053767,synthetic_envelope,SRC_VB_SYNTHETIC,,True,0.0,,v0.1,True
