mandi_id,crop_id,crop_key,dataset_version
MND_9E255CEE332B,CRP_DE6C334339AC,wheat,v0.1
MND_9E255CEE332B,CRP_352B5B6699D8,mustard,v0.1
MND_9E255CEE332B,CRP_E91C254AD588,potato,v0.1
MND_9E255CEE332B,CRP_288971671685,onion,v0.1
MND_9E255CEE332B,CRP_5ED728C2FA5D,tomato,v0.1
MND_9E255CEE332B,CRP_BF35A2D3261F,cauliflower,v0.1
MND_1796B26F4DCC,CRP_DE6C334339AC,wheat,v0.1
MND_1796B26F4DCC,CRP_352B5B6699D8,mustard,v0.1
MND_1796B26F4DCC,CRP_E91C254AD588,potato,v0.1
MND_1796B26F4DCC,CRP_288971671685,onion,v0.1
MND_1796B26F4DCC,CRP_5ED728C2FA5D,tomato,v0.1
MND_1796B26F4DCC,CRP_BF35A2D3261F,cauliflower,v0.1
MND_20196CE23F9E,CRP_DE6C334339AC,wheat,v0.1
MND_20196CE23F9E,CRP_352B5B6699D8,mustard,v0.1
MND_20196CE23F9E,CRP_E91C254AD588,potato,v0.1
MND_20196CE23F9E,CRP_288971671685,onion,v0.1
MND_20196CE23F9E,CRP_5ED728C2FA5D,tomato,v0.1
MND_20196CE23F9E,CRP_BF35A2D3261F,cauliflower,v0.1
MND_96A0566277F9,CRP_DE6C334339AC,wheat,v0.1
MND_96A0566277F9,CRP_352B5B6699D8,mustard,v0.1
MND_96A0566277F9,CRP_E91C254AD588,potato,v0.1
MND_96A0566277F9,CRP_288971671685,onion,v0.1
MND_96A0566277F9,CRP_5ED728C2FA5D,tomato,v0.1
MND_96A0566277F9,CRP_BF35A2D3261F,cauliflower,v0.1
MND_AAFC9C0B8DA5,CRP_DE6C334339AC,wheat,v0.1
MND_AAFC9C0B8DA5,CRP_352B5B6699D8,mustard,v0.1
MND_AAFC9C0B8DA5,CRP_E91C254AD588,potato,v0.1
MND_AAFC9C0B8DA5,CRP_288971671685,onion,v0.1
MND_AAFC9C0B8DA5,CRP_5ED728C2FA5D,tomato,v0.1
MND_AAFC9C0B8DA5,CRP_BF35A2D3261F,cauliflower,v0.1
MND_50FC19D7AEC4,CRP_BF35A2D3261F,cauliflower,v0.1
MND_50FC19D7AEC4,CRP_288971671685,onion,v0.1
MND_50FC19D7AEC4,CRP_E91C254AD588,potato,v0.1
MND_50FC19D7AEC4,CRP_5ED728C2FA5D,tomato,v0.1
MND_4ADE384C6981,CRP_7CC27C59C145,urad,v0.1
MND_4ADE384C6981,CRP_C7952894B2A5,moong,v0.1
MND_4ADE384C6981,CRP_352B5B6699D8,mustard,v0.1
MND_4ADE384C6981,CRP_288971671685,onion,v0.1
MND_4ADE384C6981,CRP_E91C254AD588,potato,v0.1
MND_4ADE384C6981,CRP_B2E55E456CF4,sugarcane,v0.1
MND_4ADE384C6981,CRP_5ED728C2FA5D,tomato,v0.1
MND_4ADE384C6981,CRP_28F945D9AC9C,bajra,v0.1
MND_4ADE384C6981,CRP_8F398886C326,sunflower,v0.1
MND_4ADE384C6981,CRP_D7A9EAD0B15C,barley,v0.1
MND_283ED6EAAB84,CRP_7CC27C59C145,urad,v0.1
MND_283ED6EAAB84,CRP_D955CA97E44D,maize,v0.1
MND_283ED6EAAB84,CRP_D7A9EAD0B15C,barley,v0.1
MND_283ED6EAAB84,CRP_69E399851C84,cotton,v0.1
MND_283ED6EAAB84,CRP_8F398886C326,sunflower,v0.1
MND_283ED6EAAB84,CRP_2554D1918FBC,paddy,v0.1
MND_283ED6EAAB84,CRP_28F945D9AC9C,bajra,v0.1
MND_283ED6EAAB84,CRP_E91C254AD588,potato,v0.1
MND_283ED6EAAB84,CRP_BF35A2D3261F,cauliflower,v0.1
MND_283ED6EAAB84,CRP_E2253B73169D,guar,v0.1
MND_538E435A4360,CRP_2554D1918FBC,paddy,v0.1
MND_538E435A4360,CRP_D955CA97E44D,maize,v0.1
MND_538E435A4360,CRP_CAA75103C53B,gram,v0.1
MND_538E435A4360,CRP_B2E55E456CF4,sugarcane,v0.1
MND_538E435A4360,CRP_8F398886C326,sunflower,v0.1
MND_538E435A4360,CRP_352B5B6699D8,mustard,v0.1
MND_538E435A4360,CRP_7CC27C59C145,urad,v0.1
MND_538E435A4360,CRP_28F945D9AC9C,bajra,v0.1
MND_538E435A4360,CRP_D7A9EAD0B15C,barley,v0.1
MND_538E435A4360,CRP_BF35A2D3261F,cauliflower,v0.1
MND_A59F6598A624,CRP_DE6C334339AC,wheat,v0.1
MND_A59F6598A624,CRP_D7A9EAD0B15C,barley,v0.1
MND_A59F6598A624,CRP_CAA75103C53B,gram,v0.1
MND_A59F6598A624,CRP_E91C254AD588,potato,v0.1
MND_A59F6598A624,CRP_8F398886C326,sunflower,v0.1
MND_A59F6598A624,CRP_288971671685,onion,v0.1
MND_A59F6598A624,CRP_BF35A2D3261F,cauliflower,v0.1
MND_3F94E23EB0A5,CRP_D7A9EAD0B15C,barley,v0.1
MND_3F94E23EB0A5,CRP_28F945D9AC9C,bajra,v0.1
MND_3F94E23EB0A5,CRP_BF35A2D3261F,cauliflower,v0.1
