mandi_id,location_id,apmc_name,market_yard_type,enam_enabled,commodities_supported,opening_days,service_start,service_end,avg_queue_min,market_scale,coordinate_verified,source_id,is_synthetic,dataset_version
MND_9E255CEE332B,LOC_54EA925C8D4F,Azadpur Mandi,main,False,6,"Mon,Tue,Wed,Thu,Sat,Sun",06:00,18:00,90,terminal,False,SRC_CURATED_REF,False,v0.1
MND_1796B26F4DCC,LOC_A5716EEC2341,Narela Mandi,main,False,6,"Mon,Tue,Wed,Thu,Fri,Sat",06:00,18:00,69,large,False,SRC_CURATED_REF,False,v0.1
MND_20196CE23F9E,LOC_B0F782A131CA,Ghazipur Mandi,main,False,6,"Tue,Wed,Thu,Fri,Sat,Sun",06:00,18:00,74,large,False,SRC_CURATED_REF,False,v0.1
MND_96A0566277F9,LOC_E7A75523A1C8,Okhla Mandi,sub-yard,False,6,"Mon,Tue,Wed,Thu,Sat,Sun",06:00,16:00,52,medium,False,SRC_CURATED_REF,False,v0.1
MND_AAFC9C0B8DA5,LOC_B59AFC16BD24,Keshopur Mandi,sub-yard,False,6,"Mon,Tue,Thu,Fri,Sat,Sun",06:00,16:00,47,medium,False,SRC_CURATED_REF,False,v0.1
MND_50FC19D7AEC4,LOC_597CF4331C69,Najafgarh Mandi,sub-yard,False,4,"Mon,Wed,Thu,Fri,Sat,Sun",06:00,16:00,25,small,False,SRC_CURATED_REF,False,v0.1
MND_4ADE384C6981,LOC_7F36DA6D1D20,Karnal Grain Market,main,True,10,"Mon,Wed,Thu,Fri,Sat,Sun",06:00,18:00,71,large,False,SRC_CURATED_REF,False,v0.1
MND_283ED6EAAB84,LOC_AC424CB33B08,Panipat Grain Market,main,True,10,"Mon,Tue,Wed,Thu,Fri,Sun",06:00,18:00,71,large,False,SRC_CURATED_REF,False,v0.1
MND_538E435A4360,LOC_2D9C52DA14E3,Sonipat Grain Market,main,True,10,"Mon,Tue,Wed,Thu,Sat,Sun",06:00,18:00,67,large,False,SRC_CURATED_REF,False,v0.1
MND_A59F6598A624,LOC_03E521BA5D3C,Gurugram Mandi,main,True,7,"Mon,Tue,Thu,Fri,Sat,Sun",06:00,16:00,42,medium,False,SRC_CURATED_REF,False,v0.1
MND_3F94E23EB0A5,LOC_2F386F764ED6,Rewari Mandi,main,True,7,"Mon,Tue,Wed,Fri,Sat,Sun",06:00,16:00,53,medium,False,SRC_CURATED_REF,False,v0.1
MND_CB2E88CD3113,LOC_68CFDDDF277A,Hisar Grain Market,main,True,10,"Mon,Tue,Wed,Fri,Sat,Sun",06:00,18:00,64,large,False,SRC_CURATED_REF,False,v0.1
MND_5C10FF171343,LOC_CEC5FDC42D34,Sirsa Grain Market,main,True,7,"Mon,Tue,Wed,Thu,Fri,Sat",06:00,16:00,38,medium,False,SRC_CURATED_REF,False,v0.1
MND_7491C25B20FE,LOC_70558DC20584,Kaithal Grain Market,main,True,7,"Mon,Tue,Wed,Thu,Fri,Sat",06:00,16:00,47,medium,False,SRC_CURATED_REF,False,v0.1
MND_9C5A213D03D2,LOC_DA62F3E7818A,Pehowa Mandi,sub-yard,True,7,"Tue,Wed,Thu,Fri,Sat,Sun",06:00,16:00,47,medium,False,SRC_CURATED_REF,False,v0.1
MND_372DA5A01CDA,LOC_EB9B8AD962B7,Rohtak Grain Market,main,True,7,"Mon,Tue,Wed,Fri,Sat,Sun",06:00,16:00,41,medium,False,SRC_CURATED_REF,False,v0.1
MND_BBFD6D659730,LOC_114EDABBE480,Palwal Mandi,main,True,7,"Mon,Tue,Wed,Thu,Fri,Sat",06:00,16:00,45,medium,False,SRC_CURATED_REF,False,v0.1
MND_07DDCCA966AE,LOC_057482E7BD17,Jind Grain Market,main,True,7,"Mon,Wed,Thu,Fri,Sat,Sun",06:00,16:00,43,medium,False,SRC_CURATED_REF,False,v0.1
MND_F02880680127,LOC_740F02AE15CE,Bhiwani Mandi,main,True,7,"Mon,Wed,Thu,Fri,Sat,Sun",06:00,16:00,47,medium,False,SRC_CURATED_REF,False,v0.1
MND_4427C76F4F6F,LOC_E7AFFB955361,Fatehabad Grain Market,main,True,7,"Mon,Tue,Wed,Thu,Fri,Sun",06:00,16:00,42,medium,False,SRC_CURATED_REF,False,v0.1
MND_3F6468C86419,LOC_BEB72C8DA2BA,Ambala Grain Market,main,True,7,"Mon,Tue,Wed,Fri,Sat,Sun",06:00,16:00,50,medium,False,SRC_CURATED_REF,False,v0.1
MND_D400EAD28DB3,LOC_0DD18AB1CFF1,Khanna Grain Market,main,True,12,"Mon,Tue,Wed,Fri,Sat,Sun",06:00,18:00,103,terminal,False,SRC_CURATED_REF,False,v0.1
MND_DA6DF57ACFEE,LOC_E531147D7EFC,Ludhiana Grain Market,main,True,10,"Tue,Wed,Thu,Fri,Sat,Sun",06:00,18:00,73,large,False,SRC_CURATED_REF,False,v0.1
MND_D3D37BB2E2D7,LOC_C41EA40F30F8,Rajpura Mandi,main,True,7,"Mon,Tue,Thu,Fri,Sat,Sun",06:00,16:00,37,medium,False,SRC_CURATED_REF,False,v0.1
MND_FE8D567E9001,LOC_631EE033D63E,Moga Grain Market,main,True,10,"Mon,Tue,Wed,Thu,Sat,Sun",06:00,18:00,75,large,False,SRC_CURATED_REF,False,v0.1
