farmer_node_id,village_location_id,district,state_code,latitude,longitude,farm_size_ha,primary_crop_id,primary_crop_key,secondary_crop_id,secondary_crop_key,market_preference_mandi_id,road_access_km,is_synthetic,generation_method,seed,dataset_version
FRM_B05D4D9F0585,LOC_CB4DC5D8B868,Gurdaspur,PB,32.10525,75.323553,1.82,CRP_5ED728C2FA5D,tomato,,,MND_E2F2E16B54CD,0.469,True,agri_envelope_ring_v1,20260903,v0.1
FRM_ED26D3777638,LOC_3A229DEAA8B7,Barnala,PB,30.222607,75.539026,2.65,CRP_CAA75103C53B,gram,CRP_E91C254AD588,potato,MND_DEA1CD5F415B,0.826,True,agri_envelope_ring_v1,20260903,v0.1
FRM_CE4E12252703,LOC_543B72BED05E,Muktsar,PB,30.296941,74.456507,6.49,CRP_CAA75103C53B,gram,CRP_D955CA97E44D,maize,MND_AE02C36E7ACD,0.783,True,agri_envelope_ring_v1,20260903,v0.1
FRM_285C67C19A11,LOC_CA1347BCF32E,Nawanshahr,PB,31.070007,76.246131,3.15,CRP_69E399851C84,cotton,,,MND_D400EAD28DB3,0.478,True,agri_envelope_ring_v1,20260903,v0.1
FRM_40009B2616D3,LOC_80A8D38A7B19,Hapur,UP,28.861583,77.693543,1.25,CRP_7CC27C59C145,urad,,,MND_596F86458307,1.064,True,agri_envelope_ring_v1,20260903,v0.1
FRM_512B3DC71691,LOC_C6C7F5E19B5F,Mansa,PB,29.994358,75.285255,1.44,CRP_B2E55E456CF4,sugarcane,CRP_2554D1918FBC,paddy,MND_BA2F125FAB06,0.337,True,agri_envelope_ring_v1,20260903,v0.1
FRM_A801B74EB84A,LOC_046BA1419F25,Mahendragarh,HR,28.397358,75.988142,5.66,CRP_B2E55E456CF4,sugarcane,CRP_E2253B73169D,guar,MND_F02880680127,0.471,True,agri_envelope_ring_v1,20260903,v0.1
FRM_5F78CB51287C,LOC_81A50B4A6DF9,Amritsar,PB,31.64267,75.179219,0.77,CRP_D955CA97E44D,maize,CRP_E91C254AD588,potato,MND_E2F2E16B54CD,1.658,True,agri_envelope_ring_v1,20260903,v0.1
FRM_575C9D2006A7,LOC_5C6E093BA2F7,Rupnagar,PB,30.936295,76.434674,25.23,CRP_2554D1918FBC,paddy,CRP_CAA75103C53B,gram,MND_D400EAD28DB3,0.386,True,agri_envelope_ring_v1,20260903,v0.1
FRM_82A9AFB310C1,LOC_1096F2BBC2F2,Charkhi Dadri,HR,28.570397,76.392737,1.55,CRP_BF35A2D3261F,cauliflower,CRP_2554D1918FBC,paddy,MND_F02880680127,1.69,True,agri_envelope_ring_v1,20260903,v0.1
FRM_E67FF5A05659,LOC_D0E60D9B3376,Muktsar,PB,30.246234,74.508304,0.96,CRP_B2E55E456CF4,sugarcane,CRP_8F398886C326,sunflower,MND_AE02C36E7ACD,0.24,True,agri_envelope_ring_v1,20260903,v0.1
FRM_D9C63579FC6F,LOC_AED1D557D0E4,Rupnagar,PB,30.913526,76.383576,0.71,CRP_69E399851C84,cotton,CRP_D955CA97E44D,maize,MND_D400EAD28DB3,1.672,True,agri_envelope_ring_v1,20260903,v0.1
FRM_03218DE5CB53,LOC_A2C24DA14D7E,Sonipat,HR,28.999521,76.94849,1.64,CRP_352B5B6699D8,mustard,CRP_B2E55E456CF4,sugarcane,MND_538E435A4360,0.576,True,agri_envelope_ring_v1,20260903,v0.1
FRM_D59982AA1065,LOC_1C45156BD4BD,Hoshiarpur,PB,31.625787,75.721817,2.15,CRP_D7A9EAD0B15C,barley,CRP_5ED728C2FA5D,tomato,MND_46CD786BC585,0.78,True,agri_envelope_ring_v1,20260903,v0.1
FRM_C2AFBAF824FC,LOC_3FBE94730A3F,Kurukshetra,HR,29.973737,77.037837,1.29,CRP_2554D1918FBC,paddy,CRP_E91C254AD588,potato,MND_4ADE384C6981,0.118,True,agri_envelope_ring_v1,20260903,v0.1
FRM_7B93C3A2C3FB,LOC_1BEF49DA6156,Kaithal,HR,29.727316,76.545086,0.71,CRP_D7A9EAD0B15C,barley,CRP_8F398886C326,sunflower,MND_7491C25B20FE,0.316,True,agri_envelope_ring_v1,20260903,v0.1
FRM_44C8DE38EF6B,LOC_B653FCB43810,Agra,UP,27.165524,78.27705,0.67,CRP_352B5B6699D8,mustard,CRP_2554D1918FBC,paddy,MND_5B5C6B926181,0.298,True,agri_envelope_ring_v1,20260903,v0.1
FRM_6D236F42A425,LOC_C012A5DC785F,Panipat,HR,29.406631,77.052513,0.58,CRP_69E399851C84,cotton,CRP_7CC27C59C145,urad,MND_283ED6EAAB84,0.872,True,agri_envelope_ring_v1,20260903,v0.1
FRM_A82209DFCA04,LOC_10436ADB91D6,Sonipat,HR,29.062171,76.914622,4.08,CRP_8F398886C326,sunflower,CRP_DE6C334339AC,wheat,MND_538E435A4360,1.713,True,agri_envelope_ring_v1,20260903,v0.1
FRM_2970156D7FFF,LOC_7036847809B3,Sangrur,PB,30.388083,75.572065,1.78,CRP_2554D1918FBC,paddy,,,MND_BA2F125FAB06,1.288,True,agri_envelope_ring_v1,20260903,v0.1
FRM_259AFD241EDE,LOC_7DFA77872B91,Rewari,HR,28.102604,76.644466,1.6,CRP_E91C254AD588,potato,CRP_352B5B6699D8,mustard,MND_3F94E23EB0A5,0.904,True,agri_envelope_ring_v1,20260903,v0.1
FRM_D6143AB621DD,LOC_1BA556DD8934,Sambhal,UP,28.53259,78.372744,4.77,CRP_352B5B6699D8,mustard,CRP_7CC27C59C145,urad,MND_B8828956892C,1.443,True,agri_envelope_ring_v1,20260903,v0.1
FRM_F5D36320778A,LOC_759A1B4F43D7,Bhiwani,HR,28.921063,75.897556,0.71,CRP_B2E55E456CF4,sugarcane,,,MND_F02880680127,0.932,True,agri_envelope_ring_v1,20260903,v0.1
FRM_4342397AF199,LOC_96D9724E2F71,Mainpuri,UP,27.246942,79.243309,0.55,CRP_5ED728C2FA5D,tomato,,,MND_9AC86A6D5AEC,1.211,True,agri_envelope_ring_v1,20260903,v0.1
FRM_34D6FB2812B7,LOC_6B62822E95E7,Moradabad,UP,28.746576,78.675401,1.2,CRP_D955CA97E44D,maize,CRP_4DDD4816119A,arhar,MND_B8828956892C,2.429,True,agri_envelope_ring_v1,20260903,v0.1
