instance_id,request_id,node_order,demand_kg,dataset_version
INS_A9CA499BC8FF,REQ_C5871E25A270,0,150.0,v0.1
INS_A9CA499BC8FF,REQ_C7EC93D31735,1,600.0,v0.1
INS_A9CA499BC8FF,REQ_B5AFDE3088A9,2,150.0,v0.1
INS_E8979E020185,REQ_A7BC46973A10,0,15700.0,v0.1
INS_E8979E020185,REQ_8F717200F89D,1,11430.0,v0.1
INS_E8979E020185,REQ_CBE58178588E,2,10570.0,v0.1
INS_E8979E020185,REQ_57FD9283ECDD,3,13890.0,v0.1
INS_E8979E020185,REQ_7CF9F5A90A05,4,14280.0,v0.1
INS_E8979E020185,REQ_D6A702805405,5,13950.0,v0.1
INS_813A617DE2A0,REQ_4ACED8586FC2,0,600.0,v0.1
INS_813A617DE2A0,REQ_50160CC1FD08,1,490.00000000000006,v0.1
INS_813A617DE2A0,REQ_169449095CD6,2,350.0,v0.1
INS_813A617DE2A0,REQ_6CD8AE65B5BC,3,2030.0,v0.1
INS_813A617DE2A0,REQ_16E839822ACE,4,1710.0000000000002,v0.1
INS_813A617DE2A0,REQ_724A01E786D8,5,630.0,v0.1
INS_813A617DE2A0,REQ_0E282533281A,6,1839.9999999999998,v0.1
INS_6FA7181B8A48,REQ_33A75344AE55,0,660.0,v0.1
INS_6FA7181B8A48,REQ_3F7CDA86C343,1,860.0,v0.1
INS_6FA7181B8A48,REQ_61E739E5B114,2,580.0,v0.1
INS_6FA7181B8A48,REQ_D41C70A8CCAF,3,1580.0,v0.1
INS_6FA7181B8A48,REQ_350EEB34E966,4,900.0,v0.1
INS_6FA7181B8A48,REQ_EB7BDD03B9C5,5,1200.0,v0.1
INS_9D106710EE96,REQ_1835BC14A0F6,0,770.0,v0.1
INS_9D106710EE96,REQ_F4B3C7F1DB71,1,530.0,v0.1
INS_9D106710EE96,REQ_41D814260124,2,730.0,v0.1
INS_9D106710EE96,REQ_645EFBFD4663,3,880.0,v0.1
INS_0F9F0C4ACF56,REQ_A00821A56185,0,950.0,v0.1
INS_0F9F0C4ACF56,REQ_50160CC1FD08,1,490.00000000000006,v0.1
INS_0F9F0C4ACF56,REQ_93F25571AFA3,2,740.0,v0.1
INS_0F9F0C4ACF56,REQ_39276FD15E22,3,1450.0,v0.1
INS_39D0065A0A3D,REQ_B2AA073BD018,0,850.0,v0.1
INS_39D0065A0A3D,REQ_4B67746260EB,1,250.0,v0.1
INS_39D0065A0A3D,REQ_C217251DA0E1,2,200.0,v0.1
INS_39D0065A0A3D,REQ_DB482BF3EF0C,3,250.0,v0.1
INS_39D0065A0A3D,REQ_7DABF8D2CC0E,4,1100.0,v0.1
INS_9BA60A1FF703,REQ_6762C0A07231,0,640.0,v0.1
INS_9BA60A1FF703,REQ_084BE72395DE,1,1180.0,v0.1
INS_9BA60A1FF703,REQ_8D4D3DA7B39E,2,1070.0,v0.1
INS_B48DF32AA3EC,REQ_193BBCD5020A,0,900.0,v0.1
INS_B48DF32AA3EC,REQ_3936EFF04C82,1,1050.0,v0.1
INS_B48DF32AA3EC,REQ_81F23D82B47F,2,260.0,v0.1
INS_B48DF32AA3EC,REQ_E9934C3FFD10,3,1300.0,v0.1
INS_636D6C64B687,REQ_FDD057568520,0,30000.0,v0.1
INS_636D6C64B687,REQ_D83381E9970B,1,30000.0,v0.1
INS_636D6C64B687,REQ_8D6E1C7C1E4E,2,30000.0,v0.1
INS_636D6C64B687,REQ_D6A702805405,3,13950.0,v0.1
INS_636D6C64B687,REQ_546A19D960B0,4,30000.0,v0.1
INS_636D6C64B687,REQ_8F717200F89D,5,11430.0,v0.1
INS_636D6C64B687,REQ_05284FE85B1C,6,25360.0,v0.1
INS_164C950581D4,REQ_C217251DA0E1,0,200.0,v0.1
INS_164C950581D4,REQ_07A4FCDDBCA7,1,490.00000000000006,v0.1
INS_164C950581D4,REQ_779FC4E8F5A3,2,250.0,v0.1
INS_164C950581D4,REQ_7DABF8D2CC0E,3,1100.0,v0.1
INS_164C950581D4,REQ_CECD65E78866,4,1360.0,v0.1
INS_AED6ABD073F4,REQ_2EBF24A75253,0,130.0,v0.1
INS_AED6ABD073F4,REQ_10863D676E59,1,150.0,v0.1
INS_AED6ABD073F4,REQ_50B854B09498,2,560.0,v0.1
INS_AED6ABD073F4,REQ_7DC86BDCBAD4,3,550.0,v0.1
INS_4BF7858AE851,REQ_70E07747DD68,0,850.0,v0.1
INS_4BF7858AE851,REQ_1EB840063AE6,1,380.0,v0.1
INS_4BF7858AE851,REQ_CDA766981EE8,2,350.0,v0.1
INS_4BF7858AE851,REQ_876160DAD0FB,3,660.0,v0.1
INS_4BF7858AE851,REQ_EF0E673969B9,4,1100.0,v0.1
INS_67FF7A60019E,REQ_A1F0A335C16F,0,250.0,v0.1
INS_67FF7A60019E,REQ_9C7A94F46CDD,1,300.0,v0.1
INS_67FF7A60019E,REQ_2EAA8B6FEFAE,2,980.0,v0.1
INS_67FF7A60019E,REQ_5FE1A6FBD00E,3,680.0,v0.1
INS_7923EA5FC020,REQ_2DE608A09823,0,1000.0,v0.1
INS_7923EA5FC020,REQ_90841A5B84FF,1,1030.0,v0.1
INS_7923EA5FC020,REQ_ED5E9F5D5D93,2,450.0,v0.1
INS_7923EA5FC020,REQ_2EAA8B6FEFAE,3,980.0,v0.1
INS_7923EA5FC020,REQ_D48EE4A053CF,4,340.0,v0.1
INS_7DC6899E2A83,REQ_DCC768237989,0,500.0,v0.1
INS_7DC6899E2A83,REQ_7B8F1E030722,1,900.0,v0.1
INS_7DC6899E2A83,REQ_2D0F5F47B50C,2,400.0,v0.1
INS_7DC6899E2A83,REQ_7EC4ECD3DB7E,3,200.0,v0.1
INS_7DC6899E2A83,REQ_35184FFE3755,4,600.0,v0.1
INS_7DC6899E2A83,REQ_4875921C28E3,5,950.0,v0.1
INS_7DC6899E2A83,REQ_3B801826FFCF,6,840.0,v0.1
INS_2CBF3FC6A3EC,REQ_2FCFF2F31B50,0,500.0,v0.1
INS_2CBF3FC6A3EC,REQ_2D0CA33CED67,1,1000.0,v0.1
INS_2CBF3FC6A3EC,REQ_F8603BCBCA65,2,860.0,v0.1
INS_180496C77FCA,REQ_3C676ABB7CC1,0,910.0,v0.1
INS_180496C77FCA,REQ_779FC4E8F5A3,1,250.0,v0.1
INS_180496C77FCA,REQ_3324AB962E64,2,1300.0,v0.1
INS_180496C77FCA,REQ_81496D90303D,3,120.0,v0.1
INS_2C4EB817A1FE,REQ_D6BB0B912F1E,0,890.0,v0.1
INS_2C4EB817A1FE,REQ_D2BF7BF2541C,1,490.0,v0.1
INS_2C4EB817A1FE,REQ_22CBD6D56B79,2,250.0,v0.1
INS_155918D87648,REQ_1B88325F3107,0,80.0,v0.1
INS_155918D87648,REQ_65A4EE8042DF,1,1210.0,v0.1
INS_155918D87648,REQ_8F6C7A311221,2,1200.0,v0.1
INS_155918D87648,REQ_25BB92F38F51,3,1450.0,v0.1
INS_155918D87648,REQ_60DCEE49F3BA,4,1150.0,v0.1
INS_155918D87648,REQ_660DF57E5C60,5,420.0,v0.1
INS_155918D87648,REQ_852CA3281893,6,1150.0,v0.1
INS_0C065BA0904D,REQ_18FACE0D81FA,0,100.0,v0.1
INS_0C065BA0904D,REQ_6D1F2DDCF1F5,1,1050.0,v0.1
INS_0C065BA0904D,REQ_688367AF0918,2,860.0,v0.1
INS_0C065BA0904D,REQ_23CA652196BF,3,1320.0,v0.1
INS_0C065BA0904D,REQ_31A3AF63C33A,4,820.0,v0.1
INS_0C065BA0904D,REQ_D4749913544E,5,240.0,v0.1
INS_0C065BA0904D,REQ_2F965B2DC1F4,6,1630.0,v0.1
INS_FFAAF2E2B426,REQ_C95DB91E4D5D,0,610.0,v0.1
INS_FFAAF2E2B426,REQ_849F59294A76,1,300.0,v0.1
INS_FFAAF2E2B426,REQ_8F5306F74BF5,2,520.0,v0.1
