instance_id,instance_hash,problem_type,size_band,depot_location_id,district,state_code,n_customers,n_vehicles,truck_ids,capacity_constraint,fleet_capacity_kg,total_demand_kg,capacity_feasible,time_window_constraint,pickup_delivery_constraint,circular_return_constraint,objective_weights_json,cost_snapshot_id,scenario_id,graph_version,quantum_ready,estimated_qubits_permutation,split,seed,dataset_version,split_reason
INS_A9CA499BC8FF,b96b2492cc41923c,TSP,quantum,LOC_487C12AA952A,Jind,HR,3,1,TRK_8F1CA5203CBE,15360.0,15360.0,900.0,True,True,False,True,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,True,16,validation,20260903,v0.1,hash_bucket
INS_E8979E020185,e9e47a520db579e6,PDP,quantum,LOC_DA9770705B86,South West Delhi,DL,6,1,TRK_017DA12B162E,31980.0,31980.0,79820.0,False,True,True,False,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,49,test,20260903,v0.1,hash_bucket
INS_813A617DE2A0,870650a27ae4bf3b,PDP,quantum,LOC_5775AEDC7A87,Kanpur Nagar,UP,7,1,TRK_8B0A48041C1C,17490.0,17490.0,7650.0,True,True,True,False,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,64,test,20260903,v0.1,hash_bucket
INS_6FA7181B8A48,8f33173fe3f1c02b,PDP,quantum,LOC_27273A6A3299,Shamli,UP,6,1,TRK_4FF849112E23,13040.0,13040.0,5780.0,True,True,True,True,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,49,train,20260903,v0.1,hash_bucket
INS_9D106710EE96,5a71a638bfc026b6,PDP,quantum,LOC_443EF0FB4E8C,Etawah,UP,4,1,TRK_B51DA48ACA2C,10110.0,10110.0,2910.0,True,True,True,False,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,25,train,20260903,v0.1,hash_bucket
INS_0F9F0C4ACF56,06c958784ff9af69,CVRP,quantum,LOC_5775AEDC7A87,Kanpur Nagar,UP,4,1,TRK_8B0A48041C1C,17490.0,17490.0,3630.0,True,False,False,False,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,25,test,20260903,v0.1,hash_bucket
INS_39D0065A0A3D,cb5f0e80b63e8db9,PDP,quantum,LOC_2E9E391564C2,Sonipat,HR,5,1,TRK_72CA4D066FFF,10560.0,10560.0,2650.0,True,True,True,True,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,36,train,20260903,v0.1,hash_bucket
INS_9BA60A1FF703,c568b28550ace3e7,TSP,quantum,LOC_5B344A07BA57,Sangrur,PB,3,1,TRK_017DA12B162E,31980.0,31980.0,2890.0,True,True,False,False,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,True,16,train,20260903,v0.1,hash_bucket
INS_B48DF32AA3EC,1569e8ba9a67441d,CIRCULAR_VRP,quantum,LOC_165F0D721F3E,Jalandhar,PB,4,1,TRK_A0E9F09D08D4,13770.0,13770.0,3510.0,True,True,False,True,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,25,train,20260903,v0.1,hash_bucket
INS_636D6C64B687,1b43b4128d5122d2,CIRCULAR_VRP,quantum,LOC_DA9770705B86,South West Delhi,DL,7,1,TRK_017DA12B162E,31980.0,31980.0,170740.0,False,True,False,True,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,64,train,20260903,v0.1,hash_bucket
INS_164C950581D4,7dbebf19f21fd0ff,VRPTW,quantum,LOC_2E9E391564C2,Sonipat,HR,5,1,TRK_72CA4D066FFF,10560.0,10560.0,3400.0,True,True,False,False,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,36,train,20260903,v0.1,hash_bucket
INS_AED6ABD073F4,e486bbd445bd3f74,CIRCULAR_VRP,quantum,LOC_487C12AA952A,Jind,HR,4,1,TRK_8F1CA5203CBE,15360.0,15360.0,1390.0,True,False,False,True,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,25,validation,20260903,v0.1,hash_bucket
INS_4BF7858AE851,3b203f4e32d9a823,PDP,quantum,LOC_08E25919DCC7,Kanpur Dehat,UP,5,1,TRK_EEA8DB00B33D,26280.0,26280.0,3340.0,True,True,True,True,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,36,train,20260903,v0.1,hash_bucket
INS_67FF7A60019E,be211196a8669d7b,CIRCULAR_VRP,quantum,LOC_EBC017604691,Mathura,UP,4,1,TRK_9DFA15E0928C,8820.0,8820.0,2210.0,True,True,False,True,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,25,train,20260903,v0.1,hash_bucket
INS_7923EA5FC020,7d12e18f830fec9c,PDP,quantum,LOC_EBC017604691,Mathura,UP,5,1,TRK_9DFA15E0928C,8820.0,8820.0,3800.0,True,True,True,False,"{""circular_bonus"": -1.1, ""distance_km"": 1.0, ""empty_km"": 0.85, ""fuel_inr"": 0.01, ""risk"": 12.0, ""time_min"": 0.35, ""toll_inr"": 0.01}",CST_48011250D4FB,SCN_BASELINE,g1,False,36,train,20260903,v0.1,hash_bucket
