shop_id,location_id,shop_category,capacity_tonnes,daily_demand_kg,loading_service_min,vehicle_access,road_access_quality,anchor_village_location_id,is_synthetic,generation_method,source_id,seed,dataset_version
SHP_1EAA5B6C57A6,LOC_6C3EDDFA7826,sanitary,20.9,595.0,31,2-axle,0.599,LOC_689CBCC7CFB6,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_0BD01455FD97,LOC_0F4A1D83929A,paint,28.9,1030.0,15,LCV,0.431,LOC_109E57D81710,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_AD88E2370BB3,LOC_39D61582008E,hardware,56.6,2400.0,23,2-axle,0.542,LOC_DAA98AD50040,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_E04F4D83B324,LOC_5B0AD2EA361F,sanitary,27.5,1200.0,36,LCV,0.324,LOC_44050292A817,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_00B2B9AD9523,LOC_D62F636FBD0D,cement,180.3,6355.0,49,3-axle,0.894,LOC_7CEE39F92E74,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_6EE5D538A12D,LOC_6493A4B39798,brick,179.2,3878.0,62,3-axle,0.548,LOC_60B637690FFA,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_DEA3346BCDA5,LOC_86AC88CBAB30,cement,175.7,8519.0,55,3-axle,0.396,LOC_6C56AEB615D5,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_E4AFC34BC4E9,LOC_349419B63349,tile,70.4,2067.0,50,LCV,0.569,LOC_C80E0A42FAFC,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_766FEEFA4059,LOC_18C1FEB371A5,paint,39.7,1073.0,15,LCV,0.536,LOC_724ECC51838D,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_304735BEF519,LOC_FFCB7EA5D158,hardware,20.7,832.0,24,3-axle,0.806,LOC_8544EFAE4BB1,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_6480101C4D13,LOC_98C206F58E61,multi,85.8,1260.0,46,2-axle,0.559,LOC_909BD119C596,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_EFF596D47C6C,LOC_19095059A792,cement,186.0,9192.0,51,3-axle,0.549,LOC_8C1E73C799EC,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_3181F880BF84,LOC_48F69B62C8A6,brick,467.9,26427.0,65,heavy,0.524,LOC_4C8C55F8EA2F,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_1968FA216B3C,LOC_519EADE1E3D2,tmt,118.6,3505.0,53,LCV,0.419,LOC_AD2FE08C0825,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_BD10FAC340F0,LOC_5458C85C8F6F,pipe,50.3,961.0,41,LCV,0.342,LOC_241DA091A28B,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_17258C562B6B,LOC_962564E85858,multi,154.1,5013.0,42,2-axle,0.456,LOC_F3B33DE4E9A5,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_0A5E2B43372D,LOC_D5A12FEF9CE5,hardware,32.3,1307.0,31,LCV,0.484,LOC_82002516DA32,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_5EA6164D7B38,LOC_E11CA455D7F7,paint,34.1,965.0,28,LCV,0.556,LOC_35A4159E3694,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_0BA830753DA3,LOC_9237F3DE4379,hardware,56.0,2389.0,19,LCV,0.678,LOC_7EF62433DDF6,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_CC732B73F8D8,LOC_138C8AF750E9,brick,496.4,19173.0,67,3-axle,0.425,LOC_D4201B854D92,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_8387CE8E52E3,LOC_A6CEF194D4D3,multi,179.1,6447.0,47,2-axle,0.469,LOC_755E69FE5840,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_FB20FBB11168,LOC_1B4EFA0211F7,tmt,128.3,2961.0,69,2-axle,0.537,LOC_9D1F99D631F7,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_4C05628FB154,LOC_101CD8FD2473,hardware,50.6,1805.0,35,LCV,0.621,LOC_BC729B3423C4,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_5C9A8D59F4F7,LOC_722DB270E261,brick,155.1,5179.0,74,2-axle,0.532,LOC_D49BC588944C,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_0135E25CFB05,LOC_850AA3439E4E,pipe,33.0,785.0,38,3-axle,0.98,LOC_2A3F3F75F892,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_C0FA232A3F15,LOC_9B5379FF0623,electrical,19.7,698.0,20,LCV,0.554,LOC_52329AB40C61,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_A33D33ADFD0D,LOC_ECBB99844550,sanitary,50.9,1483.0,32,LCV,0.475,LOC_57DE305C58DE,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_0800D3794C12,LOC_845275A0CC62,brick,307.1,5610.0,73,3-axle,0.542,LOC_C1F143496F3E,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_B2326278C3B1,LOC_F55986BCAB0E,multi,160.2,6231.0,49,3-axle,0.592,LOC_816929A67EB2,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_CB3FFD9611B6,LOC_046855E00C8A,hardware,54.9,2212.0,18,2-axle,0.59,LOC_83AF496708C5,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_ED34997D6ECA,LOC_E179A6501FC2,multi,142.6,3682.0,50,3-axle,0.585,LOC_D1E55A5DB01A,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_209F1882FCDA,LOC_52E26C4E3E54,hardware,29.9,617.0,28,LCV,0.54,LOC_FC3077E14A4F,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_49499019BC0E,LOC_BD9AEB83AD1B,pipe,67.3,1168.0,38,LCV,0.51,LOC_E59A6C7ADE6A,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_69C98EC6841E,LOC_17D06FE2203E,hardware,37.8,690.0,30,LCV,0.124,LOC_D83F43FB0BF6,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_C5034ABDD9AB,LOC_C61DDD858A1D,hardware,29.2,1622.0,28,3-axle,0.631,LOC_C60CB9C5A001,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_D4D27093937D,LOC_DE063CAA2038,cement,196.8,6383.0,53,3-axle,0.52,LOC_12E2CEAA35E2,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_08AD39EEB200,LOC_EE2B8698DBB9,brick,250.6,5844.0,63,3-axle,0.357,LOC_644A2942E98C,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
SHP_3D7D05BAD95F,LOC_C8B4237BD90A,hardware,24.8,635.0,28,LCV,0.472,LOC_3FF7AAD78447,True,demand_surface_anchored_v1,SRC_VB_SYNTHETIC,20260903,v0.1
