request_id,requester_type,requester_id,origin_location_id,destination_mandi_id,destination_shop_id,crop_id,crop_key,quantity_value,quantity_unit,quantity_kg,bag_weight_kg_used,conversion_source,conversion_confidence,pickup_earliest,pickup_latest,delivery_latest,priority,input_language,input_mode,raw_utterance,template_family,parsed_crop_conf,parsed_mandi_conf,parsed_quantity_conf,label_crop_key,label_mandi_key,label_quantity_value,label_quantity_unit,is_incomplete,missing_field,feasibility_label,infeasible_reason,district,state_code,request_date,is_synthetic,dataset_version,split,split_reason
REQ_7806BD9C2AB2,farmer,FRM_5CEFE7A72F53,LOC_5ED96B91B910,MND_538E435A4360,,CRP_352B5B6699D8,mustard,42.0,bori,2100.0,50.0,crop_default:mustard,crop_default,2026-04-01T09:00:00,2026-04-01T11:37:41.670766,2026-04-02T17:20:51.626503,high,en,text,"sarsau, shonepat mandi, 42 bags",TF_CROP_MANDI_QTY,0.95,0.653,0.95,mustard,sonipat,42.0,bori,False,,feasible,,Baghpat,UP,2026-04-01,True,v0.1,train,random_bucket
REQ_D6C9FA4251B9,farmer,FRM_7516DF2BD2AB,LOC_5A121ABD68FC,MND_4217655002FF,,CRP_D955CA97E44D,maize,33.9,quintal,3390.0,,definitional,exact,2026-11-20T13:00:00,2026-11-20T17:11:24.765973,2026-11-21T01:22:05.204584,normal,hinglish,text,33.9 qtl corn ghaziabad mandi bhejna hai,TF_QTY_CROP_MANDI,0.95,0.95,0.95,maize,ghaziabad,33.9,quintal,False,,feasible,,Baghpat,UP,2026-11-20,True,v0.1,test,holdout_time
REQ_207990568E70,farmer,FRM_50E28839B649,LOC_88DE3D9E72BE,MND_AE02C36E7ACD,,CRP_CAA75103C53B,gram,1.43,tonne,1430.0,,definitional,exact,2026-04-19T07:00:00,2026-04-19T16:19:08.953748,2026-04-20T17:30:54.131894,normal,en,voice,I need a truck for 1.43 tonnes gram to bathinda mandi,TF_POLITE_REQUEST,0.521,0.95,0.95,gram,bathinda,1.43,tonne,False,,feasible,,Fazilka,PB,2026-04-19,True,v0.1,train,random_bucket
REQ_18C560CD0A94,farmer,FRM_EC13E995DDD6,LOC_DCE21A36E804,MND_F02880680127,,CRP_5ED728C2FA5D,tomato,377.0,bori,9425.0,25.0,crop_default:tomato,crop_default,2026-07-12T08:00:00,2026-07-12T15:41:56.633766,2026-07-13T20:30:44.635792,normal,hi,voice,गाड़ी भेजो भिवानी टमाटार 377 बोरा,TF_TRUCK_FIRST,0.95,0.95,0.95,tomato,bhiwani,377.0,bori,False,,feasible,,Mahendragarh,HR,2026-07-12,True,v0.1,train,random_bucket
REQ_39325D21097F,farmer,FRM_F024D36247C0,LOC_73EC451C0DBA,MND_4217655002FF,,CRP_E91C254AD588,potato,3120.0,kg,3120.0,,definitional,exact,2026-03-19T08:00:00,2026-03-19T11:11:07.279287,2026-03-20T08:00:39.560762,normal,hinglish,voice,ghaziabad alu 3120 kilos,TF_MANDI_CROP_QTY,0.617,0.95,0.95,potato,ghaziabad,3120.0,kg,False,,feasible,,Bulandshahr,UP,2026-03-19,True,v0.1,test,holdout_district
REQ_C13EFD6271E7,farmer,FRM_15064F0F92C0,LOC_8B5FE92E4137,MND_316B3A33D09D,,CRP_2554D1918FBC,paddy,45.1,quintal,4510.0,,definitional,exact,2026-10-06T06:00:00,2026-10-06T08:35:53.326340,2026-10-07T12:13:04.779651,normal,hinglish,text,45.1 kuntal rice paddy agra bhejna hai,TF_QTY_CROP_MANDI,0.95,0.95,0.95,paddy,agra,45.1,quintal,False,,feasible,,Etawah,UP,2026-10-06,True,v0.1,train,random_bucket
REQ_BBBBB4DCA0AF,farmer,FRM_43C7177BF3FA,LOC_9F331B15AE3E,MND_954F0551D2D8,,CRP_28F945D9AC9C,bajra,23.0,bori,1150.0,50.0,crop_default:bajra,crop_default,2026-10-15T14:00:00,2026-10-15T17:21:53.298755,2026-10-16T09:57:45.816973,high,hi,voice,बाजरा sitapur mandi,TF_CROP_MANDI_QTY,0.458,0.95,0.0,bajra,sitapur,,,True,quantity,ambiguous,missing_quantity,Shahjahanpur,UP,2026-10-15,True,v0.1,train,random_bucket
REQ_4F5FA4EBB6A7,farmer,FRM_7AC83D30888B,LOC_D85E261A0101,MND_46CD786BC585,,CRP_B2E55E456CF4,sugarcane,27.52,tonne,27520.0,,definitional,exact,2026-03-20T07:00:00,2026-03-20T15:19:25.816842,2026-03-21T01:05:41.973035,normal,en,text,need vehicle जालंधर gana 27.52 tons,TF_TRUCK_FIRST,0.95,0.676,0.95,sugarcane,jalandhar,27.52,tonne,False,,feasible,,Hoshiarpur,PB,2026-03-20,True,v0.1,train,random_bucket
REQ_D5FD9E9CBB25,farmer,FRM_A27E85A25328,LOC_C8F6BF77F196,MND_954F0551D2D8,,CRP_D7A9EAD0B15C,barley,18.0,bori,900.0,50.0,crop_default:barley,crop_default,2026-04-11T08:00:00,2026-04-11T13:53:36.001149,2026-04-12T05:35:56.193204,normal,hi,text,जौ 18बोरे sitapur mandi,TF_TERSE,0.95,0.95,0.95,barley,sitapur,18.0,bori,False,,feasible,,Hardoi,UP,2026-04-11,True,v0.1,test,holdout_template_family
REQ_142B4442F06A,farmer,FRM_9A6CA3E6C9D6,LOC_2125A11F87E9,MND_3F6468C86419,,CRP_D7A9EAD0B15C,barley,1430.0,kg,1430.0,,definitional,exact,2026-03-06T08:00:00,2026-03-06T13:34:24.357371,2026-03-07T15:36:28.281533,normal,hinglish,text,"barley, ambala mandi, 1430 kilo",TF_CROP_MANDI_QTY,0.95,0.95,0.95,barley,ambala,1430.0,kg,False,,feasible,,Kurukshetra,HR,2026-03-06,True,v0.1,train,random_bucket
REQ_60AA3E3C18B0,farmer,FRM_F7AFE7F45EDD,LOC_32535D5EBDA9,MND_316B3A33D09D,,CRP_352B5B6699D8,mustard,17.0,bori,850.0,50.0,crop_default:mustard,crop_default,2026-05-18T10:00:00,2026-05-18T15:00:50.434629,2026-05-19T02:26:04.483167,normal,en,text,"please arrange transport, mustard, agra mandi",TF_POLITE_REQUEST,0.95,0.95,0.0,mustard,agra,,,True,quantity,ambiguous,missing_quantity,Firozabad,UP,2026-05-18,True,v0.1,train,random_bucket
REQ_F71D9AB96FE8,farmer,FRM_0621651D9A4F,LOC_9C262D787DB3,MND_07DDCCA966AE,,CRP_E2253B73169D,guar,9.0,bori,450.0,50.0,crop_default:guar,crop_default,2026-11-13T14:00:00,2026-11-13T23:46:44.168434,2026-11-14T21:26:31.522827,normal,en,text,"to jind mandi: guar, 9 bora",TF_MANDI_CROP_QTY,0.95,0.95,0.95,guar,jind,9.0,bori,False,,feasible,,Jind,HR,2026-11-13,True,v0.1,train,random_bucket
REQ_24250E182529,farmer,FRM_C85DD21BD83C,LOC_5336E29536B8,MND_4ADE384C6981,,CRP_C7952894B2A5,moong,10.0,bori,500.0,50.0,crop_default:moong,crop_default,2026-07-24T05:00:00,2026-07-24T08:49:12.200026,2026-07-25T09:00:07.837974,high,hinglish,text,truck chahiye mung 10 bora karnal,TF_TRUCK_FIRST,0.581,0.95,0.95,moong,karnal,10.0,bori,False,,feasible,,Karnal,HR,2026-07-24,True,v0.1,test,holdout_district
REQ_128303D836F8,farmer,FRM_610E647B7FCF,LOC_920381EFE5E0,MND_46CD786BC585,,CRP_B2E55E456CF4,sugarcane,40.0,tonne,40000.0,,definitional,exact,2026-03-17T13:00:00,2026-03-17T16:18:47.409757,2026-03-18T21:30:37.072208,normal,hinglish,voice,40 mt sugarcane jullundur,TF_QTY_CROP_MANDI,0.95,0.95,0.95,sugarcane,jalandhar,40.0,tonne,False,,infeasible,exceeds_max_fleet_capacity,Jalandhar,PB,2026-03-17,True,v0.1,train,random_bucket
REQ_3220F4C4E61F,farmer,FRM_8AF18FFD39F1,LOC_31EBF97D2162,MND_4217655002FF,,CRP_5ED728C2FA5D,tomato,30.4,quintal,3040.0,,definitional,exact,2026-06-07T06:00:00,2026-06-07T14:28:10.017824,2026-06-08T13:24:12.791948,normal,hi,text,गाजियाबाद टमाटार 30.4 कुंतल,TF_MANDI_CROP_QTY,0.95,0.95,0.95,tomato,ghaziabad,30.4,quintal,False,,feasible,,Ghaziabad,UP,2026-06-07,True,v0.1,test,random_bucket
REQ_ADBA3EB9D2B1,farmer,FRM_1C23ECE6D32F,LOC_DA3E837A923D,MND_B8828956892C,,CRP_7CC27C59C145,urad,350.0,kg,350.0,,definitional,exact,2026-09-07T07:00:00,2026-09-07T14:21:29.831901,2026-09-07T19:56:52.427601,normal,hinglish,voice,gaadi bhejo moradabad black gram 350 kilogram,TF_TRUCK_FIRST,0.95,0.95,0.651,urad,moradabad,350.0,kg,False,,feasible,,Moradabad,UP,2026-09-07,True,v0.1,test,random_bucket
REQ_E024164BBBFC,farmer,FRM_9888AE5BC517,LOC_1E9084DFB553,MND_4ADE384C6981,,CRP_DE6C334339AC,wheat,3.42,tonne,3420.0,,definitional,exact,2026-04-16T11:00:00,2026-04-16T13:30:52.082366,2026-04-17T01:42:19.023353,normal,hinglish,text,mujhe करनाल ke liye 3.42 tonnes wheat bhejna hai,TF_POLITE_REQUEST,0.95,0.95,0.95,wheat,karnal,3.42,tonne,False,,feasible,,Kurukshetra,HR,2026-04-16,True,v0.1,train,random_bucket
REQ_BF4A39A9FC1F,farmer,FRM_3F7937DA1C8B,LOC_4DA630143815,MND_CB2E88CD3113,,CRP_DE6C334339AC,wheat,3700.0,kg,3700.0,,definitional,exact,2026-05-16T10:00:00,2026-05-16T19:37:24.422389,2026-05-17T21:14:45.545988,normal,en,text,3700 kg wheat hisar,TF_QTY_CROP_MANDI,0.95,0.95,0.95,wheat,hisar,3700.0,kg,False,,feasible,,Hisar,HR,2026-05-16,True,v0.1,train,random_bucket
