availability_id,truck_id,location_id,available_time,remaining_capacity_kg,preferred_radius_km,return_home_by,is_synthetic,dataset_version
AVL_95EBB1CA7E36,TRK_D2E1FAD8FAE2,LOC_AC684A297AD1,12:00,15520.0,90.0,21:00,True,v0.1
AVL_468EFF3030FA,TRK_77285ED95E64,LOC_E7B504BE8FE9,06:45,2630.0,210.0,18:00,True,v0.1
AVL_6E5269A29DF5,TRK_77285ED95E64,LOC_E7B504BE8FE9,07:15,3100.0,200.0,18:00,True,v0.1
AVL_4CD54B3DEEDF,TRK_77285ED95E64,LOC_E7B504BE8FE9,08:30,2440.0,220.0,18:00,True,v0.1
AVL_26C48C18674C,TRK_CCC8FA82084A,LOC_C6AB43142BDB,08:45,6560.0,100.0,19:00,True,v0.1
AVL_4EE88098B46A,TRK_620C05BC679B,LOC_BF1D141289ED,12:00,630.0,70.0,20:00,True,v0.1
AVL_E498EC1B090F,TRK_620C05BC679B,LOC_BF1D141289ED,07:30,720.0,40.0,20:00,True,v0.1
AVL_93F365307A27,TRK_620C05BC679B,LOC_BF1D141289ED,08:15,1130.0,50.0,20:00,True,v0.1
AVL_4DBDB770246E,TRK_12B325950C8F,LOC_7CE3D43FF63F,10:00,4230.0,110.0,16:00,True,v0.1
AVL_9253941A23D0,TRK_12B325950C8F,LOC_7CE3D43FF63F,10:00,5460.0,150.0,16:00,True,v0.1
AVL_A8E11B851DB8,TRK_12B325950C8F,LOC_7CE3D43FF63F,08:15,3100.0,160.0,16:00,True,v0.1
AVL_ECEE112AE92F,TRK_DBB3E05A1345,LOC_D2DDEA75080C,12:15,3310.0,90.0,23:00,True,v0.1
AVL_C1153C67CDD1,TRK_DBB3E05A1345,LOC_D2DDEA75080C,12:00,1280.0,50.0,23:00,True,v0.1
AVL_4C678BC439DF,TRK_8C842CC0A407,LOC_0B27B307A77E,07:45,21580.0,250.0,15:00,True,v0.1
AVL_D388A953EE2E,TRK_F7ECE21B2F82,LOC_EC1D3E4138DF,09:45,330.0,40.0,20:00,True,v0.1
AVL_BDA7A87F6BAE,TRK_F7ECE21B2F82,LOC_EC1D3E4138DF,13:00,880.0,50.0,20:00,True,v0.1
AVL_9007E04351CD,TRK_7A91F5198B53,LOC_ED9C60D04FC0,11:00,13320.0,210.0,18:00,True,v0.1
AVL_3A46DCC4AF31,TRK_7A91F5198B53,LOC_ED9C60D04FC0,13:15,22690.0,140.0,18:00,True,v0.1
AVL_72D0601AED20,TRK_7A91F5198B53,LOC_ED9C60D04FC0,13:30,22010.0,220.0,18:00,True,v0.1
AVL_C89D912CAB17,TRK_CE161697CB0F,LOC_21F591BF08EC,05:30,8260.0,130.0,12:00,True,v0.1
AVL_189FEE0B0802,TRK_CE161697CB0F,LOC_21F591BF08EC,04:45,8570.0,100.0,12:00,True,v0.1
AVL_AA4563B8ECEE,TRK_CE161697CB0F,LOC_21F591BF08EC,04:30,9480.0,140.0,12:00,True,v0.1
AVL_02910C341503,TRK_BEE1B756CA92,LOC_ED9C60D04FC0,08:30,26110.0,250.0,18:00,True,v0.1
AVL_8E579B409C8E,TRK_BEE1B756CA92,LOC_ED9C60D04FC0,07:00,23830.0,250.0,18:00,True,v0.1
AVL_9D1E93F7E09F,TRK_A72FA0156ECE,LOC_B6370F731EEC,09:30,3760.0,190.0,17:00,True,v0.1
AVL_60FCEAE0D85E,TRK_129C27B32C42,LOC_2011BC2FE7BD,08:00,3210.0,190.0,14:00,True,v0.1
AVL_D85B52446F8C,TRK_CE2D668447C7,LOC_E9EE964E8CFE,08:15,1990.0,110.0,18:00,True,v0.1
AVL_475A31752C54,TRK_4DEB047EE4A3,LOC_D8FB48D6F894,13:00,20700.0,200.0,21:00,True,v0.1
AVL_87227D040EA0,TRK_4DEB047EE4A3,LOC_D8FB48D6F894,08:45,11440.0,200.0,21:00,True,v0.1
AVL_91A527856990,TRK_4DEB047EE4A3,LOC_D8FB48D6F894,08:00,18360.0,250.0,21:00,True,v0.1
AVL_820EBF7EABDF,TRK_78D4AB88907C,LOC_841795218E67,11:15,530.0,80.0,19:00,True,v0.1
AVL_180C25755958,TRK_78D4AB88907C,LOC_841795218E67,12:15,370.0,70.0,19:00,True,v0.1
AVL_FFA1C5E22025,TRK_78D4AB88907C,LOC_841795218E67,12:00,890.0,60.0,19:00,True,v0.1
AVL_AE07C4036724,TRK_A5F730FA2580,LOC_2ADFB4EFDB06,08:15,10890.0,250.0,14:00,True,v0.1
AVL_7253873F5D0B,TRK_A5F730FA2580,LOC_2ADFB4EFDB06,10:30,6470.0,250.0,14:00,True,v0.1
AVL_16E6C451A977,TRK_A5F730FA2580,LOC_2ADFB4EFDB06,08:45,12930.0,250.0,14:00,True,v0.1
AVL_97BFF55FB312,TRK_3CF3EAAA5FE3,LOC_E96863625035,07:30,260.0,40.0,19:00,True,v0.1
AVL_00503849D41F,TRK_3CF3EAAA5FE3,LOC_E96863625035,05:00,590.0,40.0,19:00,True,v0.1
AVL_ACB3AE9E30B9,TRK_292EB830C1E2,LOC_E9EE964E8CFE,12:15,420.0,60.0,20:00,True,v0.1
AVL_84FC5299A43F,TRK_292EB830C1E2,LOC_E9EE964E8CFE,07:15,520.0,50.0,20:00,True,v0.1
AVL_7A41F592E1CF,TRK_8DABB7C913C5,LOC_9F3A877025DA,09:30,1840.0,70.0,20:00,True,v0.1
AVL_646CA303F197,TRK_ECEE8EE28F92,LOC_D8FB48D6F894,08:30,17600.0,250.0,18:00,True,v0.1
AVL_F3FA8332A3EC,TRK_ECEE8EE28F92,LOC_D8FB48D6F894,09:45,8250.0,250.0,18:00,True,v0.1
AVL_86F48A9C5D3E,TRK_ECEE8EE28F92,LOC_D8FB48D6F894,06:15,18860.0,250.0,18:00,True,v0.1
AVL_E8B94D546F51,TRK_68C7282B649F,LOC_BD15AF538A86,06:45,720.0,30.0,12:00,True,v0.1
AVL_A9E2D96DD8BF,TRK_68C7282B649F,LOC_BD15AF538A86,09:45,790.0,50.0,12:00,True,v0.1
AVL_EE0E6EE3F390,TRK_EA42DF2EC558,LOC_8E24E29DF84B,06:45,780.0,150.0,16:00,True,v0.1
