truck_id,home_location_id,district,state_code,driver_name_en,driver_name_hi,vehicle_class,capacity_kg,capacity_bori,body_type,fuel_type,avg_kmpl,max_route_km,available_from,available_to,is_synthetic,generation_method,seed,dataset_version
TRK_D2E1FAD8FAE2,LOC_AC684A297AD1,Bareilly,UP,Kuldeep,कुलदीप,3axle,15710.0,314,closed,diesel,4.75,300.0,08:00,21:00,True,class_constrained_v1,20260903,v0.1
TRK_77285ED95E64,LOC_E7B504BE8FE9,Patiala,PB,Satpal,सतपाल,2axle,7370.0,147,closed,diesel,5.78,420.0,04:00,18:00,True,class_constrained_v1,20260903,v0.1
TRK_CCC8FA82084A,LOC_C6AB43142BDB,Faridkot,PB,Mohan,मोहन,2axle,9350.0,187,closed,diesel,6.22,200.0,07:00,19:00,True,class_constrained_v1,20260903,v0.1
TRK_620C05BC679B,LOC_BF1D141289ED,Hoshiarpur,PB,Vijay,विजय,pickup,1370.0,27,open,diesel,12.88,120.0,07:00,20:00,True,class_constrained_v1,20260903,v0.1
TRK_12B325950C8F,LOC_7CE3D43FF63F,Ambala,HR,Mohan,मोहन,2axle,6250.0,125,tipper,cng,5.11,360.0,08:00,16:00,True,class_constrained_v1,20260903,v0.1
TRK_DBB3E05A1345,LOC_D2DDEA75080C,Pathankot,PB,Sukhbir,सुखबीर,LCV,3720.0,74,open,diesel,8.25,150.0,09:00,23:00,True,class_constrained_v1,20260903,v0.1
TRK_8C842CC0A407,LOC_0B27B307A77E,Panipat,HR,Kuldeep,कुलदीप,multi_axle,25970.0,519,tipper,diesel,3.07,570.0,04:00,15:00,True,class_constrained_v1,20260903,v0.1
TRK_F7ECE21B2F82,LOC_EC1D3E4138DF,Amritsar,PB,Kuldeep,कुलदीप,pickup,1110.0,22,open,diesel,11.59,110.0,09:00,20:00,True,class_constrained_v1,20260903,v0.1
TRK_7A91F5198B53,LOC_ED9C60D04FC0,SAS Nagar,PB,Balwant,बलवंत,multi_axle,27170.0,543,tipper,diesel,3.01,450.0,09:00,18:00,True,class_constrained_v1,20260903,v0.1
TRK_CE161697CB0F,LOC_21F591BF08EC,West Delhi,DL,Kuldeep,कुलदीप,2axle,10360.0,207,tipper,cng,5.52,250.0,04:00,12:00,True,class_constrained_v1,20260903,v0.1
TRK_BEE1B756CA92,LOC_ED9C60D04FC0,SAS Nagar,PB,Satpal,सतपाल,multi_axle,27170.0,543,tipper,diesel,3.18,820.0,05:00,18:00,True,class_constrained_v1,20260903,v0.1
TRK_A72FA0156ECE,LOC_B6370F731EEC,Lucknow,UP,Sukhbir,सुखबीर,2axle,7200.0,144,tipper,diesel,4.64,380.0,04:00,17:00,True,class_constrained_v1,20260903,v0.1
TRK_129C27B32C42,LOC_2011BC2FE7BD,Fazilka,PB,Satpal,सतपाल,2axle,10960.0,219,tipper,diesel,4.97,440.0,05:00,14:00,True,class_constrained_v1,20260903,v0.1
TRK_CE2D668447C7,LOC_E9EE964E8CFE,South Delhi,DL,Vijay,विजय,LCV,3940.0,78,closed,diesel,8.69,230.0,07:00,18:00,True,class_constrained_v1,20260903,v0.1
TRK_4DEB047EE4A3,LOC_D8FB48D6F894,Fatehabad,HR,Mohan,मोहन,multi_axle,20850.0,417,tipper,diesel,2.78,420.0,08:00,21:00,True,class_constrained_v1,20260903,v0.1
TRK_78D4AB88907C,LOC_841795218E67,Ghaziabad,UP,Ramesh,रमेश,pickup,1390.0,27,open,diesel,13.84,150.0,09:00,19:00,True,class_constrained_v1,20260903,v0.1
TRK_A5F730FA2580,LOC_2ADFB4EFDB06,Kaithal,HR,Dinesh,दिनेश,3axle,16560.0,331,closed,diesel,4.09,650.0,06:00,14:00,True,class_constrained_v1,20260903,v0.1
TRK_3CF3EAAA5FE3,LOC_E96863625035,Shahdara,DL,Balwant,बलवंत,pickup,990.0,19,closed,diesel,13.77,70.0,05:00,19:00,True,class_constrained_v1,20260903,v0.1
TRK_292EB830C1E2,LOC_E9EE964E8CFE,South Delhi,DL,Ramesh,रमेश,pickup,810.0,16,open,diesel,12.93,90.0,07:00,20:00,True,class_constrained_v1,20260903,v0.1
TRK_8DABB7C913C5,LOC_9F3A877025DA,Shahjahanpur,UP,Naresh,नरेश,LCV,3040.0,60,closed,diesel,8.4,230.0,09:00,20:00,True,class_constrained_v1,20260903,v0.1
TRK_ECEE8EE28F92,LOC_D8FB48D6F894,Fatehabad,HR,Dinesh,दिनेश,multi_axle,23380.0,467,tipper,diesel,3.45,950.0,04:00,18:00,True,class_constrained_v1,20260903,v0.1
TRK_68C7282B649F,LOC_BD15AF538A86,South East Delhi,DL,Harpreet,हरप्रीत,pickup,1410.0,28,closed,cng,11.68,90.0,04:00,12:00,True,class_constrained_v1,20260903,v0.1
TRK_EA42DF2EC558,LOC_8E24E29DF84B,Hisar,HR,Vijay,विजय,LCV,1770.0,35,closed,cng,10.33,260.0,05:00,16:00,True,class_constrained_v1,20260903,v0.1
