instance_id,objective,feasible,distance_km,empty_km,total_ms,final_route_source,quantum_contribution_used,n_candidates,cost_snapshot_id
INS_D7686D634DD6,2653.41278,False,1588.085,32.966,2.3175999958766624,classical_only,False,1,CST_48011250D4FB
INS_D658E42FBE1B,1272.733690909091,False,705.639,124.884,1.128400006564334,classical_only,False,1,CST_48011250D4FB
INS_A5D1D534C873,1777.0030333333332,False,1021.891,99.768,0.5734000005759299,classical_only,False,1,CST_48011250D4FB
INS_E6A7A8295B02,3426.648690909091,False,2056.087,29.336,0.811200006864965,classical_only,False,1,CST_48011250D4FB
INS_461899A3855E,1760.2475692307692,False,1059.71,10.332,1.1606000043684617,classical_only,False,1,CST_48011250D4FB
INS_7ECDE91E537E,1503.398205882353,False,899.733,19.002,2.9921999957878143,classical_only,False,1,CST_48011250D4FB
INS_32832C894569,1576.0736,False,944.389,18.296,0.3519000019878149,classical_only,False,1,CST_48011250D4FB
INS_21592139757E,2807.496188235294,False,1385.293,603.73,2.421099998173304,classical_only,False,1,CST_48011250D4FB
INS_A333AC6449DB,2068.410088461538,False,1146.287,203.845,2.2600999946007505,classical_only,False,1,CST_48011250D4FB
INS_25415971A951,2990.167942307692,False,1791.317,29.859,1.111499994294718,classical_only,False,1,CST_48011250D4FB
INS_A59D44973DAA,4987.7113,False,3003.112,16.398,1.0328000062145293,classical_only,False,1,CST_48011250D4FB
INS_A773DFCFB279,3647.6904785714287,False,2188.167,32.229,1.057399989804253,classical_only,False,1,CST_48011250D4FB
INS_FEF0472C7FDC,2352.442433333333,False,1408.406,22.494,3.456000005826354,classical_only,False,1,CST_48011250D4FB
INS_5B58DF24FFA0,395.03465000000006,False,234.047,6.519,0.74230000609532,classical_only,False,1,CST_48011250D4FB
INS_F42B1FAA8EBC,1914.5850833333332,False,1146.289,24.015,0.5268999957479537,classical_only,False,1,CST_48011250D4FB
