instance_id,objective,feasible,distance_km,empty_km,total_ms,final_route_source,quantum_contribution_used,n_candidates,cost_snapshot_id
INS_D7686D634DD6,2633.6682,False,1587.785,10.332,4226.887900003931,classical_incumbent,False,5,CST_48011250D4FB
INS_D658E42FBE1B,1272.733690909091,False,705.639,124.884,4210.616900003515,classical_incumbent,False,4,CST_48011250D4FB
INS_A5D1D534C873,1670.6323166666664,False,1002.504,12.215,4309.987300002831,classical_incumbent,False,4,CST_48011250D4FB
INS_E6A7A8295B02,3384.8951,False,2040.39,10.332,1218.3600999996997,classical_incumbent,False,4,CST_48011250D4FB
INS_461899A3855E,1760.2475692307692,False,1059.71,10.332,4334.56180000212,classical_incumbent,False,5,CST_48011250D4FB
INS_7ECDE91E537E,1496.2802588235295,False,895.697,18.1,4280.584899999667,classical_incumbent,False,5,CST_48011250D4FB
INS_32832C894569,1466.7927000000002,False,877.055,20.666,4198.377699998673,classical_incumbent,False,4,CST_48011250D4FB
INS_21592139757E,2294.2807235294117,False,1374.418,20.912,4266.4222000021255,classical_incumbent,False,4,CST_48011250D4FB
INS_A333AC6449DB,2039.317846153846,False,1142.296,177.614,4271.908299997449,classical_incumbent,False,4,CST_48011250D4FB
INS_25415971A951,2971.2055846153844,False,1788.855,11.626,4219.71730000223,classical_incumbent,False,5,CST_48011250D4FB
INS_A59D44973DAA,4987.7113,False,3003.112,16.398,4221.185000002151,classical_incumbent,False,4,CST_48011250D4FB
INS_A773DFCFB279,3620.798464285715,False,2179.489,15.145,4303.200800000923,classical_incumbent,False,4,CST_48011250D4FB
INS_FEF0472C7FDC,2298.8595,False,1387.868,0.15,4313.546399993356,classical_incumbent,False,5,CST_48011250D4FB
INS_5B58DF24FFA0,393.70879545454545,False,233.267,6.519,4372.880299997632,classical_incumbent,False,5,CST_48011250D4FB
INS_F42B1FAA8EBC,1908.7084166666666,False,1146.289,17.135,4122.766900007264,classical_incumbent,False,4,CST_48011250D4FB
