problem,p,obj,exact,greedy,gap,optimal,feas_rate,depth,ms,qubits
CIRC_000_MND_D3D37BB2E2D7,1,-453.143235013328,-453.143235013328,-453.143235013328,0.0,True,0.228515625,61,1556.139299995266,11
CIRC_000_MND_D3D37BB2E2D7,2,-453.143235013328,-453.143235013328,-453.143235013328,0.0,True,0.203125,120,3071.308400001726,11
CIRC_000_MND_D3D37BB2E2D7,3,-453.143235013328,-453.143235013328,-453.143235013328,0.0,True,0.19921875,179,5173.697799997171,11
CIRC_000_MND_D3D37BB2E2D7,4,-453.143235013328,-453.143235013328,-453.143235013328,0.0,True,0.205078125,238,6243.843099990045,11
CIRC_000_MND_D3D37BB2E2D7,6,-453.143235013328,-453.143235013328,-453.143235013328,0.0,True,0.1982421875,356,10656.142700012424,11
CIRC_000_MND_D3D37BB2E2D7,8,-453.143235013328,-453.143235013328,-453.143235013328,0.0,True,0.19140625,474,12965.183899999829,11
CIRC_001_MND_CB2E88CD3113,1,-1056.4799937619864,-1056.4799937619864,-1056.4799937619864,0.0,True,0.2509765625,61,1627.1141000033822,11
CIRC_001_MND_CB2E88CD3113,2,-735.3841161247178,-1056.4799937619864,-1056.4799937619864,321.0958776372686,False,0.275390625,120,3558.906100006425,11
CIRC_001_MND_CB2E88CD3113,3,-1056.4799937619864,-1056.4799937619864,-1056.4799937619864,0.0,True,0.2529296875,179,4968.278199987253,11
CIRC_001_MND_CB2E88CD3113,4,-1056.4799937619864,-1056.4799937619864,-1056.4799937619864,0.0,True,0.2490234375,238,6053.223100010655,11
CIRC_001_MND_CB2E88CD3113,6,-1056.4799937619864,-1056.4799937619864,-1056.4799937619864,0.0,True,0.28515625,356,7520.048499995028,11
CIRC_001_MND_CB2E88CD3113,8,-1056.4799937619864,-1056.4799937619864,-1056.4799937619864,0.0,True,0.2626953125,474,9282.623900013277,11
CIRC_002_MND_1796B26F4DCC,1,-1964.641362635293,-2243.516963333226,-2243.516963333226,278.8756006979331,False,0.208984375,61,1366.8104999960633,11
CIRC_002_MND_1796B26F4DCC,2,-2243.516963333226,-2243.516963333226,-2243.516963333226,0.0,True,0.1953125,120,3071.0664999933215,11
CIRC_002_MND_1796B26F4DCC,3,-2243.516963333226,-2243.516963333226,-2243.516963333226,0.0,True,0.263671875,179,6718.911200005095,11
CIRC_002_MND_1796B26F4DCC,4,-2243.516963333226,-2243.516963333226,-2243.516963333226,0.0,True,0.220703125,238,6109.627199999522,11
CIRC_002_MND_1796B26F4DCC,6,-1964.641362635293,-2243.516963333226,-2243.516963333226,278.8756006979331,False,0.203125,356,7990.650299994741,11
CIRC_002_MND_1796B26F4DCC,8,-2243.516963333226,-2243.516963333226,-2243.516963333226,0.0,True,0.2724609375,474,9119.547399997828,11
CIRC_003_MND_1796B26F4DCC,1,-2536.4166552297816,-2536.4166552297816,-2284.1925979623993,0.0,True,0.181640625,61,1483.641400001943,11
CIRC_003_MND_1796B26F4DCC,2,-2284.1925979623993,-2536.4166552297816,-2284.1925979623993,252.22405726738225,False,0.203125,120,2614.03060000157,11
CIRC_003_MND_1796B26F4DCC,3,-2284.1925979623993,-2536.4166552297816,-2284.1925979623993,252.22405726738225,False,0.201171875,179,4218.008700001519,11
CIRC_003_MND_1796B26F4DCC,4,-2536.4166552297816,-2536.4166552297816,-2284.1925979623993,0.0,True,0.2109375,238,5366.937900005723,11
CIRC_003_MND_1796B26F4DCC,6,-2536.4166552297816,-2536.4166552297816,-2284.1925979623993,0.0,True,0.23046875,356,6396.370400005253,11
CIRC_003_MND_1796B26F4DCC,8,-2536.4166552297816,-2536.4166552297816,-2284.1925979623993,0.0,True,0.197265625,474,8143.095299994457,11
CIRC_004_MND_9AE87167EF0F,1,-385.74366832827707,-385.74366832827707,-385.74366832827707,0.0,True,0.2060546875,61,1502.3206000041682,11
CIRC_004_MND_9AE87167EF0F,2,-350.4536279225431,-385.74366832827707,-385.74366832827707,35.290040405733976,False,0.1884765625,120,2698.5103999904823,11
CIRC_004_MND_9AE87167EF0F,3,-385.74366832827707,-385.74366832827707,-385.74366832827707,0.0,True,0.212890625,179,4010.942300010356,11
CIRC_004_MND_9AE87167EF0F,4,-385.74366832827707,-385.74366832827707,-385.74366832827707,0.0,True,0.228515625,238,5199.6053000038955,11
CIRC_004_MND_9AE87167EF0F,6,-350.4536279225431,-385.74366832827707,-385.74366832827707,35.290040405733976,False,0.193359375,356,6685.494700010167,11
CIRC_004_MND_9AE87167EF0F,8,-385.74366832827707,-385.74366832827707,-385.74366832827707,0.0,True,0.2294921875,474,7661.194999993313,11
CIRC_005_MND_96D277426B8A,1,-2081.4829323774125,-2281.7750398255744,-2281.7750398255744,200.29210744816191,False,0.3447265625,61,1333.7220000103116,11
CIRC_005_MND_96D277426B8A,2,-2281.7750398255744,-2281.7750398255744,-2281.7750398255744,0.0,True,0.3271484375,120,2224.8219000030076,11
CIRC_005_MND_96D277426B8A,3,-2281.7750398255744,-2281.7750398255744,-2281.7750398255744,0.0,True,0.357421875,179,4378.92180000199,11
CIRC_005_MND_96D277426B8A,4,-2281.7750398255744,-2281.7750398255744,-2281.7750398255744,0.0,True,0.359375,238,5085.425400000531,11
CIRC_005_MND_96D277426B8A,6,-2281.7750398255744,-2281.7750398255744,-2281.7750398255744,0.0,True,0.3359375,356,6901.81520000624,11
CIRC_005_MND_96D277426B8A,8,-2281.7750398255744,-2281.7750398255744,-2281.7750398255744,0.0,True,0.3935546875,474,8560.142200003611,11
